,segment
0,愿攀
1,那
2,一阶一阶
3,，
4,看
5,那
6,一景
7,一景
8,。
9,I
10, 
11,love
12, 
13,three
14, 
15,things
16, 
17,in
18, 
19,this
20, 
21,world
22,.
23,做
24,自己
25,最好
26,！
27,努力
28,的
29,做好
30,自己
31,应该
32,做
33,的
34,就
35,好
36,，
37,不要
38,一直
39,想
40,那些
41,有
42,的
43,没有
44,的
45,。
46,做
47,更好
48,的
49,自己
50,！
51,！
52,！
53,。
54,。
55,。
56,。
57,己所不欲
58,勿施于人
59,"
"
60,"
"
61,己
62,所欲
63,亦
64,勿施于人
65,"
"
66,"
"
67,反求诸己
68,！
69,Make
70, 
71, 
72, 
73,the
74, 
75, 
76,change
77, 
78,!
79, 
80,!
81, 
82,!
83,淘宝
84,店
85,：
86,验证
87,旺旺
88,名
89,或者
90,订单号
91,即可
92,加
93,好友
94,额成
95,大事
96,者
97,，
98,心必静
99,，
100,能
101,从
102,小事
103,做起
104,，
105,心存
106,远大
107,志向
108,13823348514
109,与其
110,在
111,别人
112,的
113,生活
114,里
115,跑龙套
116,，
117,不如
118,精彩
119,做
120,自己
121,。
122,一个
123,人
124,走路
125,，
126,才
127,是
128,你
129,和
130,风景
131,之间
132,的
133,单独
134,私会
135,never
136, 
137,fill
138, 
139,your
140, 
141,life
142, 
143,with
144, 
145,sand
146, 
147,firstwelcome
148, 
149,to
150, 
151,my
152, 
153,life
154,！
155,担负起
156,自己
157,的
158,责任
159,，
160,不
161,但是
162,活着
163,就算
164,了
165,，
166,更要
167,活
168,的
169,热烈
170,而
171,起劲
172,。
173,撑
174,着
175,惺忪
176,睡眼
177,迎接
178,朝霞
179,。
180,因为
181,我
182,有
183,双下巴
184,，
185,所以
186,低
187,不了
188,头
189,。
190,就
191,这样
192,，
193,，
194,，
195,，
196,，
197,艺美轩
198,艺术
199,培训
200,～
201,～
202,淘宝
203,:
204,艺美轩
205,文房四宝
206,旗舰店
207,非常
208,能
209,吃苦
210,"
"
211,我
212,做到
213,了
214,前
215,四个
216,字
217,！
218,京华
219,烟云
220, 
221,爱
222,在
223,路上
224,欲
225,戴
226,王冠
227,，
228,必承其重
229,减肥
230,，
231,加薪
232,不断
233,的
234,更新
235,自己
236,，
237,才能
238,展现
239,最好
240,的
241,自己
242,！
243,生活
244,不止
245,眼前
246,的
247,苟且
248,，
249,还有
250,诗
251,和
252,远方
253,的
254,田野
255,。
256,不畏
257,将来
258,，
259,不
260,念
261,过往
262,。
263,快快乐乐
264,的
265,！
266,你
267,能
268,看到
269,我
270,，
271,不管
272,多远
273,；
274,我要
275,看到
276,你
277,，
278,你
279,要
280,在
281,我
282,面前
283,。
284,谢谢
285,你
286,这么
287,好看
288,还
289,来看
290,这么
291,好看
292,的
293,我
294,淡定
295,，
296,自信
297,，
298,坚持
299,新加
300,的
301,朋友
302,们
303,找到
304,朋友圈
305,的
306,一条
307,链接
308,【
309,自取
310,即可
311,】
312,懒
313,、
314,不是
315,惰性
316,、
317,是
318,心态
319,返现
320,的
321,亲
322,，
323,不要
324,急
325,！
326,一个
327,工作日内
328,通过
329,。
330,工作
331,时间
332,8
333,-
334,18
335,点
336,。
337,一語
338,天然
339,萬古新
340,，
341,豪華落
342,盡見
343,真淳
344,。
345,海上生明月
346,成才
347,热线
348,：
349,0797
350,-
351,7895250carpe
352, 
353,diem
354,转山
355,转水转
356,佛寺
357,。
358,不为
359,修
360,来世
361,，
362,只为
363,与
364,你
365,在
366,途中
367,相遇
368,！
369,。
370,。
371,。
372,可爱
373,乡村
374,非主流
375,，
376,贵族
377,王朝
378,杀马特
379,。
380,assert
381,(
382,me
383,=
384,=
385,a
386, 
387,happy
388, 
389,dog
390,)
391,keep
392, 
393,hungry
394,","
395, 
396,keep
397, 
398,foolish
399,向阳
400,向前
401,。
402,永不言败
403,善待
404,他人
405,等于
406,善待
407,自己
408,，
409,做好
410,自己
411,啥
412,也
413,没有
414,这个
415,家伙
416,很
417,懒
418,，
419,什么
420,都
421,没有
422,写
423,。
424,生活
425,精致
426,时
427,，
428,每一寸
429,阳光
430,都
431,为
432,你
433,量身定做
434,沉迷
435,学习
436,，
437,不能自拔
438,人生
439,了无生趣
440,。
441,喜欢
442,你
443,，
444,认真
445,且
446,怂
447,，
448,从一而终
449,！
450,内心
451,足够
452,强大
453,，
454,才
455,能够
456,独立
457,承担
458,起
459,一切
460,！
461,永远
462,相信
463,美好
464,的
465,事情
466,即将
467,发生
468,…
469,…
470,最后
471,的
472,倔强
473,，
474,只是
475,为了
476,最后
477,的
478,一点
479,尊严
480,。
481,？
482,事在人为
483,孔会
484,当
485,凌绝顶
486,，
487,一览
488,众山
489,小
490,！
491,Loser
492,不忘
493,初心
494,，
495,继续前进
496,当
497,你
498,的
499,才华
500,配
501,的
502,上
503,你
504,的
505,情怀
506,，
507,你
508,即
509,可以
510,脚踏实地
511,，
512,又
513,可以
514,仰望
515,星空
516,自尊
517,，
518,自爱
519,，
520,自信
521,，
522,自强
523,，
524,自立
525,何必
526,远方
527,！
528,一念
529,之慈
530,，
531,万物
532,皆
533,善
534,敢于
535,直面
536,别人
537,眼中
538,的
539,自己
540,～
541,15813880102what
542, 
543,would
544, 
545,jesus
546, 
547,do
548,昨日
549,种种
550,，
551,皆
552,成今
553,我
554,。
555,是
556,的
557,吧
558,，
559,所有
560,让
561,你
562,感到
563,害怕
564,的
565,事情
566,都
567,终将
568,过去
569,*
570,^
571,_
572,^
573,*
574,如人饮水
575,，
576,冷暖自知
577,烦恼
578,最小化
579,，
580,快乐
581,最大化
582,。
583,做
584,最美
585,的
586,“
587,蔗糖
588,”
589,如果
590,没有
591,如果
592,，
593,后来
594,也
595,没有
596,后来
597,承接
598,各类
599,吸塑
600,包装
601,我
602,是
603,一只
604,小
605,羚羊
606,，
607,不
608,被
609,吃
610,了
611,，
612,我要
613,向前
614,奔跑
615,。
616,take
617, 
618,it
619, 
620,easy
621,是
622,我
623,贱
624,！
625,fake
626, 
627,it
628, 
629,untill
630, 
631,you
632, 
633,become
634, 
635,it
636,手机号
637,18694559936
638,向
639,死
640,而生
641,，
642,生活
643,应该
644,要
645,有
646,仪式
647,感
648,，
649,否则
650,总是
651,灰头土脸
652,的
653,三观
654,蒙牛
655,榴莲
656,牛奶
657,最怕
658,你
659,一生
660,碌碌无为
661,，
662,还
663,说
664,平凡
665,难能可贵
666,知足者
667,常乐
668,私
669,は
670,必
671,ず
672,実
673,現
674,さ
675,せ
676,る
677,留学
678,の
679,夢
680,だ
681, 
682,"
"
683,心即理
684, 
685, 
686,知行合一
687, 
688, 
689,致
690,良知
691,天道酬勤
692,去
693,繁
694,就
695,简
696,<
697,span
698, 
699,class
700,=
701,""""
702,emoji
703, 
704,emoji1f4f1
705,""""
706,>
707,<
708,/
709,span
710,>
711,18046666444
712,身无
713,饥寒
714,，
715,父母
716,不曾
717,亏
718,我
719,。
720,"
"
721,人
722,无
723,长进
724,，
725,我
726,以何
727,对
728,父母
729,。
730,愿
731,你
732,走出
733,半生
734,，
735,归来
736,仍
737,是
738,少年
739,别人
740,笑
741,我
742,太
743,疯癫
744,，
745,我
746,笑
747,他人
748,看
749,不
750,穿
751,我
752,是
753,大神
754,青涩
755,不及
756,当初
757,，
758,聚散
759,不由
760,你
761,我
762,山有
763,木兮木
764,有枝
765,，
766,心悦
767,君兮君
768,不知
769,杯里
770,有
771,酒
772, 
773,碗
774,里
775,有
776,肉
777, 
778,兜里
779,有钱
780, 
781,怀里
782,有
783,你
784,嘿嘿嘿
785,所爱隔
786,山海
787,，
788,山海
789,不可
790,平
